Day,Celsius
1,18
2,18
3,18
4,18
5,18
6,18
7,18
8,18
9,18
10,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
21,18
22,18.1
23,18.1
24,18.1
25,18.1
26,18.1
27,18.1
28,18.1
29,18.1
30,18.1
31,18.1
32,18.1
33,18.1
34,18.1
35,18.1
36,18.1
37,18.1
38,18.1
39,18.2
40,18.2
41,18.2
42,18.2
43,18.2
44,18.2
45,18.2
46,18.2
47,18.2
48,18.2
49,18.2
50,18.3
51,18.3
52,18.3
53,18.3
54,18.3
55,18.3
56,18.3
57,18.4
58,18.4
59,18.4
60,18.4
61,18.4
62,18.4
63,18.5
64,18.5
65,18.5
66,18.5
67,18.5
68,18.5
69,18.6
70,18.6
71,18.6
72,18.6
73,18.6
74,18.7
75,18.7
76,18.7
77,18.7
78,18.7
79,18.8
80,18.8
81,18.8
82,18.8
83,18.8
84,18.9
85,18.9
86,18.9
87,18.9
88,18.9
89,19
90,19
91,19
92,19
93,19
94,19.1
95,19.1
96,19.1
97,19.1
98,19.1
99,19.1
100,19.2
101,19.2
102,19.2
103,19.2
104,19.2
105,19.2
106,19.3
107,19.3
108,19.3
109,19.3
110,19.3
111,19.3
112,19.4
113,19.4
114,19.4
115,19.4
116,19.4
117,19.4
118,19.5
119,19.5
120,19.5
121,19.5
122,19.5
123,19.5
124,19.6
125,19.6
126,19.6
127,19.6
128,19.6
129,19.6
130,19.7
131,19.7
132,19.7
133,19.7
134,19.7
135,19.7
136,19.7
137,19.8
138,19.8
139,19.8
140,19.8
141,19.8
142,19.8
143,19.8
144,19.8
145,19.9
146,19.9
147,19.9
148,19.9
149,19.9
150,19.9
151,19.9
152,19.9
153,19.9
154,19.9
155,19.9
156,19.9
157,19.9
158,19.9
159,19.9
160,19.9
161,19.9
162,19.9
163,19.9
164,19.9
165,19.9
166,19.9
167,19.9
168,19.8
169,19.8
170,19.8
171,19.8
172,19.8
173,19.8
174,19.8
175,19.8
176,19.8
177,19.8
178,19.7
179,19.7
180,19.7
181,19.7
182,19.7
183,19.7
184,19.7
185,19.7
186,19.7
187,19.6
188,19.6
189,19.6
190,19.6
191,19.6
192,19.6
193,19.6
194,19.6
195,19.6
196,19.5
197,19.5
198,19.5
199,19.5
200,19.5
201,19.5
202,19.5
203,19.5
204,19.4
205,19.4
206,19.4
207,19.4
208,19.4
209,19.4
210,19.4
211,19.3
212,19.3
213,19.3
214,19.3
215,19.3
216,19.2
217,19.2
218,19.2
219,19.2
220,19.2
221,19.1
222,19.1
223,19.1
224,19.1
225,19.1
226,19
227,19
228,19
229,19
230,19
231,18.9
232,18.9
233,18.9
234,18.9
235,18.9
236,18.8
237,18.8
238,18.8
239,18.8
240,18.8
241,18.8
242,18.7
243,18.7
244,18.7
245,18.7
246,18.7
247,18.7
248,18.6
249,18.6
250,18.6
251,18.6
252,18.6
253,18.6
254,18.6
255,18.6
256,18.5
257,18.5
258,18.5
259,18.5
260,18.5
261,18.5
262,18.5
263,18.5
264,18.5
265,18.5
266,18.5
267,18.5
268,18.4
269,18.4
270,18.4
271,18.4
272,18.4
273,18.4
274,18.4
275,18.4
276,18.4
277,18.4
278,18.4
279,18.4
280,18.4
281,18.4
282,18.3
283,18.3
284,18.3
285,18.3
286,18.3
287,18.3
288,18.3
289,18.3
290,18.3
291,18.3
292,18.3
293,18.3
294,18.3
295,18.3
296,18.3
297,18.2
298,18.2
299,18.2
300,18.2
301,18.2
302,18.2
303,18.2
304,18.2
305,18.2
306,18.2
307,18.2
308,18.2
309,18.2
310,18.2
311,18.2
312,18.2
313,18.2
314,18.2
315,18.2
316,18.2
317,18.2
318,18.1
319,18.1
320,18.1
321,18.1
322,18.1
323,18.1
324,18.1
325,18.1
326,18.1
327,18.1
328,18.1
329,18.1
330,18.1
331,18.1
332,18.1
333,18.1
334,18.1
335,18.1
336,18.1
337,18.1
338,18.1
339,18.1
340,18.1
341,18.1
342,18.1
343,18.1
344,18.1
345,18.1
346,18.1
347,18.1
348,18.1
349,18.1
350,18.1
351,18.1
352,18.1
353,18.1
354,18
355,18
356,18
357,18
358,18
359,18
360,18
361,18
362,18
363,18
364,18
365,18
